TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
T00001,6/18/2024,C160,P014,S003,1,0.1,Bank Transfer
T00002,11/2/2023,C171,P030,S004,3,0.15,Bank Transfer
T00003,3/28/2024,C142,P002,S002,2,0.15,Mobile Money
T00004,6/15/2024,C174,P050,S002,5,0.1,Mobile Money
T00005,8/29/2024,C141,P036,S001,3,0.1,Credit Card
T00006,3/28/2025,C111,P036,S005,5,0.1,Mobile Money
T00007,11/9/2024,C114,P009,S004,2,0.15,Credit Card
T00008,5/28/2024,C169,P005,S001,3,0.1,Cash
T00009,9/4/2024,C193,P035,S002,3,0.05,Credit Card
T00010,6/16/2024,C038,P045,S001,1,0.05,Mobile Money
T00011,3/9/2025,C157,P022,S001,4,0.15,Credit Card
T00012,6/6/2024,C184,P042,S004,4,0.15,Credit Card
T00013,10/2/2023,C038,P048,S001,1,0.15,Credit Card
T00014,10/28/2024,C046,P034,S005,4,0,Credit Card
T00015,3/23/2025,C032,P016,S004,2,0.15,Bank Transfer
T00016,12/14/2023,C194,P024,S004,5,0.15,Mobile Money
T00017,12/24/2024,C041,P026,S004,4,0.1,Credit Card
T00018,5/30/2025,C164,P033,S003,5,0.15,Credit Card
T00019,4/21/2025,C071,P011,S004,1,0.1,Credit Card
T00020,1/7/2025,C070,P007,S003,3,0,Credit Card
T00021,11/16/2024,C039,P018,S002,4,0.05,Credit Card
T00022,11/26/2024,C017,P022,S004,4,0.1,Mobile Money
T00023,8/2/2024,C107,P023,S001,2,0.15,Mobile Money
T00024,3/30/2025,C198,P013,S005,1,0.15,Mobile Money
T00025,6/2/2024,C002,P039,S003,3,0.15,Mobile Money
T00026,10/26/2024,C138,P021,S005,5,0.05,Mobile Money
T00027,1/23/2024,C057,P039,S003,4,0.15,Cash
T00028,12/15/2024,C100,P020,S003,4,0.05,Mobile Money
T00029,4/9/2025,C033,P013,S005,5,0,Mobile Money
T00030,2/26/2025,C152,P028,S005,1,0,Mobile Money
T00031,12/16/2024,C035,P019,S004,2,0,Bank Transfer
T00032,1/16/2025,C098,P028,S003,2,0.15,Bank Transfer
T00033,7/20/2025,C087,P021,S004,3,0.15,Bank Transfer
T00034,11/13/2023,C021,P037,S004,1,0,Bank Transfer
T00035,2/16/2024,C058,P047,S001,1,0,Credit Card
T00036,6/3/2025,C052,P049,S001,5,0.05,Credit Card
T00037,1/17/2024,C033,P030,S004,1,0.05,Mobile Money
T00038,5/6/2025,C180,P041,S003,3,0.05,Cash
T00039,10/13/2024,C200,P001,S002,3,0,Cash
T00040,8/2/2024,C080,P011,S005,4,0.15,Credit Card
T00041,12/20/2023,C020,P044,S005,2,0,Bank Transfer
T00042,6/3/2024,C176,P025,S005,1,0,Bank Transfer
T00043,10/30/2024,C137,P011,S004,3,0,Bank Transfer
T00044,12/31/2024,C004,P033,S004,4,0,Mobile Money
T00045,9/30/2024,C093,P045,S004,2,0.15,Credit Card
T00046,11/27/2023,C188,P027,S005,3,0.15,Mobile Money
T00047,5/6/2025,C112,P045,S005,3,0.1,Credit Card
T00048,1/25/2025,C023,P011,S003,4,0.05,Mobile Money
T00049,8/9/2025,C146,P013,S005,4,0.1,Cash
T00050,8/14/2025,C127,P007,S003,2,0.15,Credit Card
T00051,9/25/2024,C091,P026,S003,3,0.1,Bank Transfer
T00052,5/9/2025,C143,P022,S001,5,0.05,Cash
