TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod,TotalAmount,GrossRevenue,NetRevenue,Profit
T00001,6/18/2024,C160,P014,S003,1,0.1,"Bank Transfer",1208.4750000000001,1342.75,1208.4750000000001,410.5350000000001
T00002,11/2/2023,C171,P030,S004,3,0.15,"Bank Transfer",74.562,87.72,74.562,28.722
T00003,3/28/2024,C142,P002,S002,2,0.15,"Mobile Money",1391.892,1637.52,1391.892,336.65200000000004
T00004,6/15/2024,C174,P050,S002,5,0.1,"Mobile Money",4700.880000000001,5223.200000000001,4700.880000000001,825.5300000000007
T00005,8/29/2024,C141,P036,S001,3,0.1,"Credit Card",4053.942,4504.38,4053.942,550.752
T00006,3/28/2025,C111,P036,S005,5,0.1,"Mobile Money",6756.570000000001,7507.3,6756.570000000001,917.920000000001
T00007,11/9/2024,C114,P009,S004,2,0.15,"Credit Card",209.423,246.38,209.423,48.703
T00008,5/28/2024,C169,P005,S001,3,0.1,Cash,3769.794,4188.66,3769.794,757.5239999999999
T00009,9/4/2024,C193,P035,S002,3,0.05,"Credit Card",4452.925499999999,4687.29,4452.925499999999,866.035499999999
T00010,6/16/2024,C038,P045,S001,1,0.05,"Mobile Money",1785.1259999999997,1879.08,1785.1259999999997,780.5659999999998
T00011,3/9/2025,C157,P022,S001,4,0.15,"Credit Card",86.938,102.28,86.938,10.738
T00012,6/6/2024,C184,P042,S004,4,0.15,"Credit Card",1542.308,1814.48,1542.308,275.788
T00013,10/2/2023,C038,P048,S001,1,0.15,"Credit Card",1033.906,1216.36,1033.906,239.106
T00014,10/28/2024,C046,P034,S005,4,0,"Credit Card",1712.2,1712.2,1712.2,727.9200000000001
T00015,3/23/2025,C032,P016,S004,2,0.15,"Bank Transfer",3159.875,3717.5,3159.875,257.55499999999984
T00016,12/14/2023,C194,P024,S004,5,0.15,"Mobile Money",6321.4925,7437.05,6321.4925,2256.1425
T00017,12/24/2024,C041,P026,S004,4,0.1,"Credit Card",3656.736,4063.04,3656.736,1319.136
T00018,5/30/2025,C164,P033,S003,5,0.15,"Credit Card",7645.6225,8994.85,7645.6225,999.8725000000004
T00019,4/21/2025,C071,P011,S004,1,0.1,"Credit Card",223.713,248.57,223.713,33.043000000000006
T00020,1/7/2025,C070,P007,S003,3,0,"Credit Card",4422.36,4422.36,4422.36,2130.2999999999997
T00021,11/16/2024,C039,P018,S002,4,0.05,"Credit Card",4103.582,4319.56,4103.582,1288.2620000000002
T00022,11/26/2024,C017,P022,S004,4,0.1,"Mobile Money",92.052,102.28,92.052,15.852000000000004
T00023,8/2/2024,C107,P023,S001,2,0.15,"Mobile Money",3193.399,3756.94,3193.399,1163.579
T00024,3/30/2025,C198,P013,S005,1,0.15,"Mobile Money",964.5799999999999,1134.8,964.5799999999999,289.4799999999999
T00025,6/2/2024,C002,P039,S003,3,0.15,"Mobile Money",1379.3970000000002,1622.8200000000002,1379.3970000000002,184.64700000000016
T00026,10/26/2024,C138,P021,S005,5,0.05,"Mobile Money",5829.389999999999,6136.2,5829.389999999999,943.9399999999996
T00027,1/23/2024,C057,P039,S003,4,0.15,Cash,1839.1960000000001,2163.76,1839.1960000000001,246.19600000000014
T00028,12/15/2024,C100,P020,S003,4,0.05,"Mobile Money",1230.896,1295.68,1230.896,258.976
T00029,4/9/2025,C033,P013,S005,5,0,"Mobile Money",5674,5674,5674,2298.5
T00030,2/26/2025,C152,P028,S005,1,0,"Mobile Money",673.78,673.78,673.78,310.45
T00031,12/16/2024,C035,P019,S004,2,0,"Bank Transfer",3525.84,3525.84,3525.84,832.8800000000001
T00032,1/16/2025,C098,P028,S003,2,0.15,"Bank Transfer",1145.426,1347.56,1145.426,418.76599999999996
T00033,7/20/2025,C087,P021,S004,3,0.15,"Bank Transfer",3129.462,3681.7200000000003,3129.462,198.192
T00034,11/13/2023,C021,P037,S004,1,0,"Bank Transfer",1952.65,1952.65,1952.65,501.3800000000001
T00035,2/16/2024,C058,P047,S001,1,0,"Credit Card",1197.18,1197.18,1197.18,474.44000000000005
T00036,6/3/2025,C052,P049,S001,5,0.05,"Credit Card",1844.235,1941.3,1844.235,847.7349999999999
T00037,1/17/2024,C033,P030,S004,1,0.05,"Mobile Money",27.778,29.24,27.778,12.498
T00038,5/6/2025,C180,P041,S003,3,0.05,Cash,4659.778499999999,4905.03,4659.778499999999,1529.9084999999995
T00039,10/13/2024,C200,P001,S002,3,0,Cash,5021.07,5021.07,5021.07,1050.9299999999994
T00040,8/2/2024,C080,P011,S005,4,0.15,"Credit Card",845.1379999999999,994.28,845.1379999999999,82.45799999999997
T00041,12/20/2023,C020,P044,S005,2,0,"Bank Transfer",2573.1,2573.1,2573.1,978.02
T00042,6/3/2024,C176,P025,S005,1,0,"Bank Transfer",429.15,429.15,429.15,170.42999999999995
T00043,10/30/2024,C137,P011,S004,3,0,"Bank Transfer",745.71,745.71,745.71,173.70000000000005
T00044,12/31/2024,C004,P033,S004,4,0,"Mobile Money",7195.88,7195.88,7195.88,1879.2799999999997
T00045,9/30/2024,C093,P045,S004,2,0.15,"Credit Card",3194.4359999999997,3758.16,3194.4359999999997,1185.3159999999998
T00046,11/27/2023,C188,P027,S005,3,0.15,"Mobile Money",3244.1865,3816.69,3244.1865,386.2365
T00047,5/6/2025,C112,P045,S005,3,0.1,"Credit Card",5073.516,5637.24,5073.516,2059.836
T00048,1/25/2025,C023,P011,S003,4,0.05,"Mobile Money",944.5659999999999,994.28,944.5659999999999,181.88599999999997
T00049,8/9/2025,C146,P013,S005,4,0.1,Cash,4085.2799999999997,4539.2,4085.2799999999997,1384.8799999999997
T00050,8/14/2025,C127,P007,S003,2,0.15,"Credit Card",2506.004,2948.24,2506.004,977.9639999999999
T00051,9/25/2024,C091,P026,S003,3,0.1,"Bank Transfer",2742.5519999999997,3047.2799999999997,2742.5519999999997,989.3519999999999
T00052,5/9/2025,C143,P022,S001,5,0.05,Cash,121.4575,127.85,121.4575,26.207499999999996
T00053,9/30/2024,C062,P047,S004,4,0.05,"Mobile Money",4549.284,4788.72,4549.284,1658.3239999999996
T00054,1/29/2024,C166,P001,S004,4,0,Cash,6694.76,6694.76,6694.76,1401.2399999999998
T00055,6/27/2024,C076,P009,S002,4,0.05,"Bank Transfer",468.12199999999996,492.76,468.12199999999996,146.68199999999996
T00056,8/19/2025,C170,P028,S005,3,0.15,"Bank Transfer",1718.139,2021.34,1718.139,628.1489999999999
T00057,10/11/2024,C109,P011,S005,3,0.1,"Mobile Money",671.139,745.71,671.139,99.12900000000002
T00058,1/20/2024,C070,P034,S003,3,0.05,Cash,1219.9425,1284.15,1219.9425,481.7325000000001
T00059,2/14/2025,C185,P027,S002,3,0,"Credit Card",3816.69,3816.69,3816.69,958.7400000000002
