Trip ID,Pick Date,Vehicle,Payment_type,No. of passenger_count,Trip Distance,Pickup Location,Booking Value,Total Bookings,Year,Quarter,Month,Day
1,2024-06-01 00:00:00,UberX,Uber Pay,1,5.6,East Village,$21.5,1.0,1899,Qtr 4,December,30
2,2024-06-01 00:00:00,Uber Black,Cash,1,1.72,Lincoln Square East,$8.0,1.0,1899,Qtr 4,December,30
3,2024-06-01 00:00:00,Uber Black,Cash,1,3.41,Sutton Place/Turtle Bay North,$13.0,1.0,1899,Qtr 4,December,30
4,2024-06-01 00:00:00,UberX,Cash,1,1.81,Prospect-Lefferts Gardens,$9.0,1.0,1899,Qtr 4,December,30
5,2024-06-01 00:00:00,Uber Black,Cash,1,1.89,Garment District,$8.0,1.0,1899,Qtr 4,December,30
6,2024-06-01 00:00:00,UberX,Cash,6,3.29,Central Harlem,$14.0,1.0,1899,Qtr 4,December,30
7,2024-06-01 00:00:00,UberX,Cash,2,2.05,Lincoln Square East,$8.5,1.0,1899,Qtr 4,December,30
8,2024-06-01 00:00:00,Uber Comfort,Cash,2,3.54,Clinton East,$12.5,1.0,1899,Qtr 4,December,30
9,2024-06-01 00:00:00,Uber Green,Cash,1,1.1,Clinton East,$5.5,1.0,1899,Qtr 4,December,30
10,2024-06-01 00:00:00,UberX,Uber Pay,2,1.9,Lenox Hill East,$11.6,1.0,1899,Qtr 4,December,30
11,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.66,Clinton East,$28.5,1.0,1899,Qtr 4,December,30
12,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,13.12,Kips Bay,$36.5,1.0,1899,Qtr 4,December,30
13,2024-06-01 00:00:00,Uber Green,Cash,1,12.59,JFK Airport,$37.0,1.0,1899,Qtr 4,December,30
14,2024-06-01 00:00:00,UberXL,Cash,1,1.1,Clinton East,$5.5,1.0,1899,Qtr 4,December,30
15,2024-06-01 00:00:00,UberX,Cash,1,9,Morningside Heights,$27.0,1.0,1899,Qtr 4,December,30
16,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.12,Kips Bay,$10.4,1.0,1899,Qtr 4,December,30
17,2024-06-01 00:00:00,UberXL,Uber Pay,1,3,Midtown North,$13.0,1.0,1899,Qtr 4,December,30
18,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.1,Greenwich Village South,$14.6,1.0,1899,Qtr 4,December,30
19,2024-06-01 00:00:00,UberXL,Uber Pay,1,5.63,East Williamsburg,$21.3,1.0,1899,Qtr 4,December,30
20,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.53,Clinton East,$8.6,1.0,1899,Qtr 4,December,30
21,2024-06-01 00:00:00,Uber Comfort,Cash,1,1.7,Fort Greene,$8.5,1.0,1899,Qtr 4,December,30
22,2024-06-01 00:00:00,UberXL,Uber Pay,1,5.8,Penn Station/Madison Sq West,$25.5,1.0,1899,Qtr 4,December,30
